,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
2,601880.SH,大连港,2,20150109,5.34,5.72,5.22,5.72,5.2,0.52,10.0,3234698,1788539.054,港口,-9.62,5.88,-9.62,2.8
3,300244.SZ,迪安诊断,2,20150112,47.0,53.15,46.6,53.15,48.32,4.83,10.0,74879,374381.3493,医疗保健,-5.74,54.0,-15.36,1.6
4,002738.SZ,中矿资源,2,20150113,21.46,23.38,20.61,23.38,21.25,2.13,10.02,117931,261423.7715,小金属,29.96,24.5,14.600000000000001,4.79
5,002738.SZ,中矿资源,3,20150114,24.5,25.72,24.03,25.72,23.38,2.34,10.01,96134,241820.7562,小金属,19.54,26.6,34.14,3.42
8,002738.SZ,中矿资源,6,20150119,33.33,34.23,30.5,34.23,31.12,3.11,9.99,169655,560273.0343,小金属,17.46,33.6,51.6,-1.84
10,300292.SZ,吴通控股,2,20150123,24.15,25.0,24.0,25.0,22.73,2.27,9.99,181354,448123.0776,软件服务,-3.47,24.79,48.13,-0.84
13,300399.SZ,天利科技,3,20150204,92.0,95.6,91.27,95.6,86.91,8.69,10.0,14678,138218.2928,互联网,-7.87,100.99,40.260000000000005,5.64
14,002095.SZ,生意宝,3,20150205,65.0,69.08,63.83,69.08,62.8,6.28,10.0,72125,483222.4842,互联网,-11.49,72.7,28.770000000000003,5.24
15,002469.SZ,三维工程,3,20150209,19.01,20.23,18.31,20.23,18.39,1.84,10.01,435481,850628.517,建筑工程,-6.26,19.95,22.510000000000005,-1.38
18,000626.SZ,远大控股,5,20150225,32.68,32.68,30.44,32.68,29.71,2.97,10.0,115824,372748.0051,商贸代理,48.41,33.0,70.92,0.98
19,300364.SZ,中文在线,5,20150227,54.57,54.57,52.01,54.57,49.61,4.96,10.0,87603,475651.235,出版业,32.12,57.78,103.03999999999999,5.88
26,600119.SH,ST长投,3,20150313,23.0,23.28,21.51,23.28,21.16,2.12,10.02,868035,1968483.4540000001,仓储物流,16.25,23.01,119.28999999999999,-1.16
27,600119.SH,ST长投,4,20150316,23.01,25.61,23.01,25.61,23.28,2.33,10.01,546250,1330862.7140000002,仓储物流,-5.72,27.0,113.57,5.43
29,002093.SZ,国脉科技,4,20150320,12.0,12.68,11.88,12.68,11.53,1.15,9.97,904857,1121645.2142,电信运营,-3.69,13.32,109.88,5.05
31,000514.SZ,渝开发,4,20150327,9.43,9.43,9.43,9.43,8.57,0.86,10.04,11766,11095.7341,区域地产,-2.34,9.83,107.53999999999999,4.24
35,601010.SH,文峰股份,4,20150407,40.49,43.04,40.02,43.04,39.13,3.91,9.99,336277,1408667.0369999998,超市连锁,1.18,43.6,108.72,1.3
36,601010.SH,文峰股份,5,20150408,43.6,47.34,41.0,47.34,43.04,4.3,9.99,453464,2050138.352,超市连锁,-56.62,46.38,52.1,-2.03
38,600035.SH,楚天高速,7,20150416,8.99,9.52,8.98,9.52,8.65,0.87,10.06,929126,877085.725,路桥,-14.04,9.87,38.06,3.68
42,000410.SZ,*ST沈机,6,20150422,27.36,27.36,25.51,27.36,24.87,2.49,10.01,680700,1857162.3336,机床制造,4.21,28.0,42.27,2.34
43,601106.SH,中国一重,6,20150423,11.0,11.62,10.81,11.62,10.56,1.06,10.04,7907714,9070044.522,工程机械,-1.69,12.0,40.580000000000005,3.27
44,002721.SZ,金一文化,4,20150428,58.99,59.88,58.99,59.88,54.44,5.44,9.99,21814,129918.8954,服饰,-12.38,61.14,28.200000000000003,2.1
51,002427.SZ,ST尤夫,6,20150528,25.78,25.78,25.1,25.78,23.44,2.34,9.98,85550,219870.59399999998,化纤,4.85,26.78,33.050000000000004,3.88
52,002427.SZ,ST尤夫,7,20150529,26.78,28.36,23.2,28.36,25.78,2.58,10.01,309473,813153.9379,化纤,6.51,29.5,39.56,4.02
53,002427.SZ,ST尤夫,8,20150601,29.5,31.2,28.36,31.2,28.36,2.84,10.01,225598,683180.3017,化纤,-10.88,33.0,28.68,5.77
56,300040.SZ,九洲集团,5,20150610,16.37,16.37,16.37,16.37,14.88,1.49,10.01,29241,47867.9263,电气设备,10.4,17.2,39.08,5.07
58,300040.SZ,九洲集团,7,20150612,19.81,19.81,19.81,19.81,18.01,1.8,9.99,25948,51403.9191,电气设备,-16.83,19.93,22.25,0.61
59,300205.SZ,天喻信息,2,20150617,38.3,43.35,37.0,43.35,39.41,3.94,10.0,418736,1697334.0605,元器件,-17.32,43.31,4.93,-0.09
64,000020.SZ,深华发A,4,20150629,27.95,29.55,25.25,29.55,26.86,2.69,10.01,222174,633972.6236,元器件,-13.12,29.5,-8.19,-0.17
66,601599.SH,鹿港文化,5,20150723,18.39,18.39,17.5,18.39,16.72,1.67,9.99,288300,529180.863,影视音像,-4.9,19.0,-13.09,3.32
77,603616.SH,韩建河山,6,20150807,42.0,48.47,41.0,48.47,44.06,4.41,10.01,194914,879493.695,其他建材,-4.78,51.0,-17.87,5.22
79,002188.SZ,ST巴士,6,20150811,33.02,33.5,32.61,33.5,30.45,3.05,10.02,109575,366109.7473,广告包装,-6.78,34.5,-24.650000000000002,2.99
81,000558.SZ,莱茵体育,5,20150819,21.97,26.85,21.97,26.85,24.41,2.44,10.0,870738,2159522.0056,文教休闲,-17.55,27.28,-42.2,1.6
82,000628.SZ,高新发展,4,20150828,13.86,13.86,13.86,13.86,12.6,1.26,10.0,17208,23851.3968,园区开发,-33.41,14.0,-75.61,1.01
92,000025.SZ,特力A,5,20150918,34.0,34.34,29.01,34.34,31.22,3.12,9.99,255874,833049.4734,汽车服务,20.3,34.5,-55.31,0.47
93,000025.SZ,特力A,6,20150921,34.5,37.77,32.11,37.77,34.34,3.43,9.99,155224,559485.8312,汽车服务,4.39,39.66,-50.92,5.0
94,000025.SZ,特力A,7,20150922,39.66,41.55,39.35,41.55,37.77,3.78,10.01,163860,672347.8156,汽车服务,3.65,43.5,-47.27,4.69
95,000025.SZ,特力A,8,20150923,43.5,45.71,41.65,45.71,41.55,4.16,10.01,151175,679092.5527,汽车服务,7.69,47.38,-39.580000000000005,3.65
102,300191.SZ,潜能恒信,8,20151021,36.5,37.8,35.88,37.8,34.36,3.44,10.01,214730,803937.6386,石油开采,8.22,39.92,-31.360000000000007,5.61
105,000008.SZ,神州高铁,4,20151028,13.01,13.74,12.8,13.74,12.49,1.25,10.01,1116836,1496858.9089,运输设备,-8.86,14.0,-40.220000000000006,1.89
106,300459.SZ,金科文化,4,20160112,24.76,24.76,24.76,24.76,22.51,2.25,10.0,4086,10118.174,互联网,-14.11,24.6,-54.330000000000005,-0.65
107,600610.SH,ST毅达,3,20160115,10.78,11.83,10.58,11.83,10.75,1.08,10.05,304324,350537.867,建筑工程,2.93,12.11,-51.400000000000006,2.37
108,600610.SH,ST毅达,4,20160118,12.11,13.01,12.11,13.01,11.83,1.18,9.97,149905,190380.842,建筑工程,11.29,13.1,-40.11000000000001,0.69
109,000576.SZ,甘化科工,4,20160119,18.48,20.06,18.0,20.06,18.24,1.82,9.98,208080,406860.7454,综合类,-15.38,20.19,-55.49000000000001,0.65
111,600610.SH,ST毅达,6,20160122,15.3,15.74,14.81,15.74,14.31,1.43,9.99,431724,668917.37,建筑工程,-7.99,16.2,-63.48000000000001,2.92
112,603025.SH,大豪科技,3,20160125,37.3,39.05,36.88,39.05,35.5,3.55,10.0,59918,229290.34,IT设备,-17.85,40.7,-81.33000000000001,4.23
115,000019.SZ,深粮控股,3,20160201,13.52,13.52,12.91,13.52,12.29,1.23,10.01,400837,537832.9111,其他商业,31.7,13.19,-49.63000000000001,-2.44
116,000019.SZ,深粮控股,4,20160202,13.19,14.87,12.91,14.87,13.52,1.35,9.99,372531,509289.5471,其他商业,17.15,14.8,-32.48000000000001,-0.47
118,000019.SZ,深粮控股,6,20160204,17.5,18.0,17.08,18.0,16.36,1.64,10.02,246923,435746.166,其他商业,15.33,18.18,-17.150000000000013,1.0
119,002423.SZ,中粮资本,4,20160217,14.54,14.54,14.54,14.54,13.22,1.32,9.98,32498,47252.5427,多元金融,-4.29,15.3,-21.440000000000012,5.23
121,002226.SZ,江南化工,4,20160223,9.89,9.89,9.89,9.89,8.99,0.9,10.01,151167,149504.6674,化工原料,-1.13,10.31,-22.57000000000001,4.25
122,000626.SZ,远大控股,4,20160224,65.99,72.03,65.0,72.03,65.48,6.55,10.0,161120,1114095.8057,商贸代理,-7.7,73.0,-30.27000000000001,1.35
123,002741.SZ,光华科技,3,20160226,32.0,33.56,30.8,33.56,30.51,3.05,10.0,333852,1084895.8823,化工原料,-16.79,33.0,-47.06000000000001,-1.67
127,600533.SH,栖霞建设,4,20160303,7.4,7.4,7.22,7.4,6.73,0.67,9.96,1210710,895181.698,区域地产,-6.22,7.35,-53.28000000000001,-0.68
128,000029.SZ,深深房A,4,20160304,13.02,13.02,12.63,13.02,11.84,1.18,9.97,1138548,1475606.7709,区域地产,-4.1,12.99,-57.38000000000001,-0.23
129,300222.SZ,科大智能,4,20160321,26.06,26.08,25.52,26.08,23.71,2.37,10.0,132257,344528.1032,电气设备,0.93,27.6,-56.45000000000001,5.83
130,000909.SZ,数源科技,4,20160322,19.02,19.02,19.02,19.02,17.29,1.73,10.01,33575,63859.9543,综合类,3.22,20.11,-53.23000000000001,5.73
131,000909.SZ,数源科技,5,20160323,20.11,20.92,19.63,20.92,19.02,1.9,9.99,700989,1427066.4075,综合类,-3.21,20.61,-56.44000000000001,-1.48
134,002323.SZ,*ST雅博,3,20160328,38.97,38.97,38.97,38.97,35.43,3.54,9.99,11076,43166.2117,建筑工程,7.73,38.01,-48.71000000000001,-2.46
136,601608.SH,中信重工,3,20160405,6.61,6.61,6.51,6.61,6.01,0.6,9.98,620597,409913.93,专用机械,-1.54,7.0,-50.25000000000001,5.9
137,601608.SH,中信重工,4,20160406,7.0,7.27,6.89,7.27,6.61,0.66,9.98,3166296,2258092.536,专用机械,-8.48,7.25,-58.730000000000004,-0.28
138,600671.SH,*ST目药,2,20160408,29.1,32.91,29.08,32.91,29.92,2.99,9.99,61798,195107.74800000002,中成药,-11.47,34.5,-70.2,4.83
141,600233.SH,圆通速递,2,20160415,40.4,40.46,39.6,40.46,36.78,3.68,10.01,196532,794625.2390000001,仓储物流,-9.79,40.5,-79.99000000000001,0.1
143,000829.SZ,天音控股,4,20160420,16.26,16.26,16.26,16.26,14.78,1.48,10.01,318385,517694.888,其他商业,-19.26,17.0,-99.25000000000001,4.55
146,002610.SZ,爱康科技,4,20160427,16.16,16.16,16.16,16.16,14.69,1.47,10.01,128673,207935.6003,电气设备,-2.3,16.16,-101.55000000000001,0.0
147,603399.SH,吉翔股份,2,20160503,9.9,11.18,9.8,11.18,10.16,1.02,10.04,191202,201303.776,小金属,2.0,11.0,-99.55000000000001,-1.61
148,300476.SZ,胜宏科技,3,20160506,27.99,28.35,27.2,28.35,25.77,2.58,10.01,547744,1535981.9067,元器件,-15.82,27.69,-115.37,-2.33
149,600429.SH,三元股份,2,20160511,8.2,8.71,7.96,8.71,7.92,0.79,9.97,379502,314653.576,乳制品,-2.0,8.68,-117.37,-0.34
150,300340.SZ,科恒股份,2,20160512,31.55,34.73,30.0,34.73,31.57,3.16,10.01,183717,598385.752,元器件,5.66,36.49,-111.71000000000001,5.07
152,300340.SZ,科恒股份,4,20160516,40.5,42.02,37.2,42.02,38.2,3.82,10.0,349618,1396242.0823,元器件,-2.8,41.0,-114.51,-2.43
153,600367.SH,红星发展,3,20160517,12.33,12.33,11.81,12.33,11.21,1.12,9.99,528397,644945.381,化工原料,-10.58,12.34,-125.09,0.08
154,600232.SH,金鹰股份,4,20160519,12.0,13.11,11.92,13.11,11.92,1.19,9.98,475427,613111.9839999999,纺织,-3.43,13.0,-128.52,-0.84
155,600980.SH,北矿科技,2,20160527,26.8,28.09,26.68,28.09,25.54,2.55,9.98,153479,421028.56799999997,元器件,8.21,27.43,-120.31,-2.35
156,300503.SZ,昊志机电,2,20160530,48.3,51.3,48.3,51.3,46.64,4.66,9.99,90820,451251.7766,机械基件,10.43,53.0,-109.88,3.31
158,002533.SZ,金杯电工,3,20160608,13.89,13.89,12.82,13.89,12.63,1.26,9.98,1391821,1881109.645,电气设备,-10.03,13.5,-119.91,-2.81
159,600571.SH,信雅达,2,20160614,50.85,50.85,49.8,50.85,46.23,4.62,9.99,136940,695675.7459999999,软件服务,-2.96,50.94,-122.86999999999999,0.18
160,002112.SZ,三变科技,4,20160617,25.44,25.44,25.44,25.44,23.13,2.31,9.99,23643,60149.2421,电气设备,-6.64,25.43,-129.51,-0.04
161,002352.SZ,顺丰控股,2,20160621,38.0,43.29,37.78,43.29,39.35,3.94,10.01,420131,1735463.1347,仓储物流,-8.74,42.0,-138.25,-2.98
162,002703.SZ,浙江世宝,3,20160623,31.0,31.1,29.29,31.1,28.27,2.83,10.01,337522,1031639.9498,汽车配件,2.71,30.6,-135.54,-1.61
164,000025.SZ,特力A,4,20160628,73.0,73.92,71.24,73.92,67.2,6.72,10.0,96836,710608.1614,汽车服务,-2.88,73.0,-138.42,-1.24
165,300019.SZ,硅宝科技,3,20160629,17.2,17.2,16.9,17.2,15.64,1.56,9.97,81498,140102.6397,化工原料,-3.97,17.81,-142.39,3.55
166,000603.SZ,盛达资源,3,20160705,23.88,24.33,23.11,24.33,22.12,2.21,9.99,615071,1464988.0228,铅锌,0.94,23.8,-141.45,-2.18
167,002766.SZ,ST索菱,4,20160707,41.0,42.24,40.2,42.24,38.4,3.84,10.0,342440,1436167.6438,汽车配件,-7.54,43.14,-148.98999999999998,2.13
168,000519.SZ,中兵红箭,2,20160711,15.11,16.08,15.0,16.08,14.62,1.46,9.99,609529,954681.7053,矿物制品,-3.48,16.21,-152.46999999999997,0.81
171,002248.SZ,华东数控,2,20160721,13.12,14.47,12.89,14.47,13.15,1.32,10.04,595416,813518.0121,机床制造,-5.47,14.47,-157.93999999999997,0.0
175,600919.SH,江苏银行,5,20160805,12.01,12.01,11.2,12.01,10.92,1.09,9.98,5469613,6432869.097999999,银行,1.31,11.8,-156.62999999999997,-1.75
176,000918.SZ,嘉凯城,3,20160808,8.92,9.7,8.83,9.7,8.82,0.88,9.98,1515067,1442632.1739,全国地产,-4.07,9.65,-160.69999999999996,-0.52
177,000638.SZ,万方发展,3,20160817,23.56,24.64,22.5,24.64,22.4,2.24,10.0,621201,1481362.9096,软件服务,-8.95,24.79,-169.64999999999995,0.61
178,000019.SZ,深粮控股,3,20160818,17.27,18.87,17.11,18.87,17.15,1.72,10.03,884742,1589644.3741,其他商业,-14.27,19.68,-183.91999999999996,4.29
180,002611.SZ,东方精工,5,20160823,15.8,15.86,14.42,15.86,14.42,1.44,9.99,640567,976034.0834,轻工机械,-5.76,15.95,-189.67999999999995,0.57
181,603778.SH,乾景园林,2,20160824,28.31,30.6,28.09,30.6,27.82,2.78,9.99,220932,664449.94,建筑工程,-4.44,31.0,-194.11999999999995,1.31
184,002319.SZ,*ST乐通,3,20160905,20.91,20.91,20.91,20.91,19.01,1.9,9.99,6532,13660.1475,染料涂料,-5.44,21.9,-199.55999999999995,4.73
187,000678.SZ,襄阳轴承,2,20160914,10.2,10.2,10.2,10.2,9.27,0.93,10.03,72830,74287.0998,机械基件,0.65,10.57,-198.90999999999994,3.63
188,002755.SZ,奥赛康,2,20160921,59.38,65.16,56.0,65.16,59.24,5.92,9.99,87988,546354.828,化学制药,-0.72,65.1,-199.62999999999994,-0.09
190,002614.SZ,奥佳华,2,20160927,15.48,16.8,14.9,16.8,15.27,1.53,10.02,664437,1044344.6247,医疗保健,-6.38,16.68,-206.00999999999993,-0.71
192,000912.SZ,泸天化,3,20160930,10.13,10.13,10.13,10.13,9.21,0.92,9.99,165515,167667.1509,农药化肥,24.95,10.3,-181.05999999999995,1.68
193,000757.SZ,浩物股份,2,20161010,10.09,10.59,9.83,10.59,9.63,0.96,9.97,761977,773588.0607,汽车配件,8.63,11.19,-172.42999999999995,5.67
194,000757.SZ,浩物股份,3,20161011,11.19,11.65,11.18,11.65,10.59,1.06,10.01,287679,327088.6513,汽车配件,2.66,11.8,-169.76999999999995,1.29
195,603999.SH,读者传媒,3,20161012,39.46,43.76,38.91,43.76,39.78,3.98,10.01,229790,967684.31,出版业,0.66,43.3,-169.10999999999996,-1.05
196,600657.SH,信达地产,2,20161014,6.43,6.84,6.4,6.84,6.22,0.62,9.97,1399078,940909.0179999999,全国地产,1.63,7.16,-167.47999999999996,4.68
197,600657.SH,信达地产,3,20161017,7.16,7.52,7.16,7.52,6.84,0.68,9.94,1528487,1142153.887,全国地产,0.56,7.41,-166.91999999999996,-1.46
198,603918.SH,金桥信息,3,20161020,33.2,36.43,32.84,36.43,33.12,3.31,9.99,192309,672929.922,软件服务,4.96,37.19,-161.95999999999995,2.09
199,000912.SZ,泸天化,4,20161024,10.3,11.14,10.23,11.14,10.13,1.01,9.97,442289,482224.3661,农药化肥,9.19,11.76,-152.76999999999995,5.57
201,603777.SH,来伊份,5,20161028,52.75,52.75,51.88,52.75,47.95,4.8,10.01,68159,358756.49600000004,食品,12.79,53.0,-139.97999999999996,0.47
203,000935.SZ,四川双马,4,20161101,34.33,35.24,33.0,35.24,32.04,3.2,9.99,220065,765025.8570000001,水泥,-0.7,37.0,-140.67999999999995,4.99
204,000935.SZ,四川双马,5,20161102,37.0,38.76,36.2,38.75,35.24,3.51,9.96,685192,2609195.305,水泥,-13.64,38.64,-154.31999999999994,-0.28
207,002732.SZ,燕塘乳业,5,20161108,46.0,48.63,46.0,48.63,44.21,4.42,10.0,279062,1321309.202,乳制品,7.5,48.0,-146.81999999999994,-1.3
209,000595.SZ,*ST宝实,4,20161115,16.95,18.92,16.66,18.92,17.2,1.72,10.0,463482,848016.0090000001,机械基件,-8.3,18.9,-155.11999999999995,-0.11
210,300103.SZ,达刚控股,4,20161116,28.64,28.64,28.64,28.64,26.04,2.6,9.98,23681,67823.357,工程机械,-1.62,28.63,-156.73999999999995,-0.03
211,600679.SH,上海凤凰,3,20161122,30.03,31.32,29.56,31.32,28.47,2.85,10.01,156807,479852.774,文教休闲,-12.51,31.0,-169.24999999999994,-1.02
212,600608.SH,ST沪科,2,20161128,16.6,16.95,16.22,16.95,15.41,1.54,9.99,536764,902565.661,钢加工,1.87,16.8,-167.37999999999994,-0.88
213,002512.SZ,达华智能,2,20161129,22.94,22.94,21.01,22.94,20.85,2.09,10.02,884373,2002322.149,元器件,-19.63,22.67,-187.00999999999993,-1.18
214,000672.SZ,上峰水泥,3,20161205,9.28,9.87,9.28,9.87,8.97,0.9,10.03,939115,907904.293,水泥,23.29,9.6,-163.71999999999994,-2.74
215,601116.SH,三江购物,2,20161206,27.0,30.57,26.47,30.57,27.79,2.78,10.0,458077,1342173.273,超市连锁,15.37,30.57,-148.34999999999994,0.0
217,601116.SH,三江购物,4,20161208,36.99,36.99,35.65,36.99,33.63,3.36,9.99,343021,1263091.459,超市连锁,13.98,36.8,-134.36999999999995,-0.51
219,600679.SH,上海凤凰,3,20161212,32.0,33.8,31.5,33.8,30.73,3.07,9.99,216577,722725.98,文教休闲,26.96,33.02,-107.40999999999994,-2.31
223,002040.SZ,南京港,4,20161221,20.31,21.95,19.49,21.95,19.95,2.0,10.03,348869,728816.59,港口,-8.97,22.0,-116.37999999999994,0.23
225,600099.SH,林海股份,2,20161226,16.0,17.83,15.84,17.83,16.21,1.62,9.99,347644,592677.865,摩托车,9.19,18.32,-107.18999999999994,2.75
227,002300.SZ,太阳电缆,3,20170106,12.9,13.65,12.52,13.65,12.41,1.24,9.99,555294,739527.536,电气设备,-2.24,14.4,-109.42999999999994,5.49
228,002388.SZ,新亚制程,2,20170113,11.98,12.8,11.8,12.8,11.64,1.16,9.97,616756,774477.974,元器件,-7.83,13.39,-117.25999999999993,4.61
230,300311.SZ,任子行,3,20170119,15.58,17.44,15.4,17.44,15.85,1.59,10.03,394872,646244.083,软件服务,8.15,18.15,-109.10999999999993,4.07
233,002725.SZ,跃岭股份,3,20170126,25.6,28.24,24.01,28.24,25.67,2.57,10.01,263482,707389.317,汽车配件,-6.11,28.0,-115.21999999999993,-0.85
234,000885.SZ,城发环境,6,20170206,27.2,31.82,26.04,31.82,28.93,2.89,9.99,475640,1294182.044,公路,2.67,31.05,-112.54999999999993,-2.42
235,603663.SH,三祥新材,3,20170208,36.5,38.82,35.53,38.82,35.29,3.53,10.0,101419,382219.224,矿物制品,-6.7,40.61,-119.24999999999993,4.61
236,002824.SZ,和胜股份,5,20170213,52.35,52.35,46.1,52.35,47.59,4.76,10.0,226070,1178043.252,铝,3.4,53.0,-115.84999999999992,1.24
237,002824.SZ,和胜股份,6,20170214,53.0,57.59,52.5,57.58,52.35,5.23,9.99,133897,765718.932,铝,-7.68,57.59,-123.52999999999992,0.02
238,002839.SZ,张家港行,6,20170217,17.82,17.82,17.82,17.82,16.2,1.62,10.0,91917,163797.163,银行,1.82,17.63,-121.70999999999992,-1.07
239,002323.SZ,*ST雅博,2,20170220,19.79,19.79,18.3,19.79,17.99,1.8,10.01,654290,1263030.38,建筑工程,-5.15,19.78,-126.85999999999993,-0.05
243,600319.SH,ST亚星,3,20170301,13.3,13.81,12.88,13.81,12.55,1.26,10.04,345527,463528.289,化工原料,-8.8,13.79,-135.65999999999994,-0.14
244,300374.SZ,中铁装配,2,20170309,22.08,23.8,22.0,23.8,21.64,2.16,9.98,119114,272217.925,其他建材,-5.93,24.99,-141.58999999999995,5.0
245,603881.SH,数据港,2,20170310,58.27,58.27,58.27,58.27,52.97,5.3,10.01,17394,101356.295,电信运营,16.91,61.18,-124.67999999999995,4.99
248,601212.SH,白银有色,3,20170315,12.37,12.93,12.15,12.93,11.75,1.18,10.04,2254727,2839179.2260000003,铜,8.98,13.67,-115.69999999999995,5.72
250,002823.SZ,凯中精密,3,20170322,57.0,62.54,56.51,62.54,56.85,5.69,10.01,183221,1109152.886,机械基件,-7.02,62.5,-122.71999999999994,-0.06
251,002302.SZ,西部建设,3,20170324,15.68,16.42,15.4,16.42,14.93,1.49,9.98,690406,1112233.425,水泥,4.78,17.1,-117.93999999999994,4.14
259,600533.SH,栖霞建设,2,20170414,6.56,6.56,6.56,6.56,5.96,0.6,10.07,182921,119996.30699999999,区域地产,9.85,6.5,-108.08999999999995,-0.91
260,300629.SZ,新劲刚,3,20170419,54.78,54.78,54.78,54.78,49.8,4.98,10.0,4825,26434.197999999997,元器件,-9.45,54.78,-117.53999999999995,0.0
261,000856.SZ,冀东装备,3,20170426,29.57,31.14,29.57,31.14,28.31,2.83,10.0,759762,2324497.501,机械基件,19.69,33.0,-97.84999999999995,5.97
262,002836.SZ,新宏泽,3,20170428,31.69,33.56,30.55,33.56,30.51,3.05,10.0,166489,541654.02,广告包装,10.17,33.56,-87.67999999999995,0.0
264,002158.SZ,汉钟精机,4,20170503,19.27,19.47,18.66,19.46,17.7,1.76,9.94,948399,1828371.0990000002,工程机械,-5.49,19.66,-93.16999999999994,1.03
265,300419.SZ,浩丰科技,3,20170504,14.78,15.64,14.11,15.64,14.22,1.42,9.99,571243,848863.411,软件服务,-7.91,15.65,-101.07999999999994,0.06
266,600908.SH,无锡银行,3,20170505,19.9,21.68,18.62,21.67,19.71,1.96,9.94,452442,954242.554,银行,-8.17,21.4,-109.24999999999994,-1.25
267,601003.SH,柳钢股份,2,20170508,5.22,5.52,5.07,5.52,5.02,0.5,9.96,1870703,1016330.6390000001,普钢,-8.23,5.4,-117.47999999999995,-2.17
268,002865.SZ,钧达股份,2,20170509,27.5,30.72,26.95,30.72,27.93,2.79,9.99,127913,380521.21200000006,汽车配件,16.04,32.0,-101.43999999999994,4.17
270,002865.SZ,钧达股份,4,20170511,32.0,37.17,31.5,37.17,33.79,3.38,10.0,187436,642001.343,汽车配件,-7.34,38.94,-108.77999999999994,4.76
271,002350.SZ,北京科锐,4,20170519,27.23,27.23,27.23,27.23,24.75,2.48,10.02,55156,150190.93099999998,电气设备,-5.16,28.49,-113.93999999999994,4.63
274,002809.SZ,红墙股份,3,20170605,41.1,41.11,39.24,41.11,37.37,3.74,10.01,72492,295534.332,化工原料,19.85,40.44,-94.08999999999995,-1.63
275,000638.SZ,万方发展,3,20170606,13.55,14.14,12.95,14.14,12.85,1.29,10.04,540812,744506.9920000001,软件服务,8.44,14.58,-85.64999999999995,3.11
277,002837.SZ,英维克,4,20170608,32.79,32.79,32.4,32.79,29.81,2.98,10.0,171612,562688.439,专用机械,-11.32,33.6,-96.96999999999994,2.47
278,000025.SZ,特力A,3,20170612,42.5,45.33,42.2,45.33,41.21,4.12,10.0,132271,590335.572,汽车服务,-5.17,46.0,-102.13999999999994,1.48
